frankenstein word,frankenstein count,call of the wild word,call of the wild count
sensation,12,discovered,5
sense,12,distributed,5
shut,12,divide,5
sledge,12,dog-food,5
spring,12,done,5
studies,12,dragging,5
success,12,drive,5
surely,12,dyea,5
themselves,12,easily,5
torture,12,ecstasy,5
turn,12,experienced,5
urged,12,eye,5
village,12,failed,5
virtue,12,fiercely,5
want,12,filled,5
wild,12,flew,5
woods,12,forgot,5
abhorred,11,form,5
accordingly,11,furry,5
act,11,gained,5
approach,11,gee-pole,5
associated,11,given,5
assured,11,glad,5
behind,11,government,5
beneath,11,grow,5
blue,11,growing,5
broken,11,herd,5
carried,11,high,5
ceased,11,horses,5
clear,11,house,5
compassion,11,howled,5
condemned,11,hurled,5
considered,11,hurt,5
demand,11,i'm,5
deprived,11,inches,5
difficulty,11,included,5
duties,11,jaws,5
duty,11,jerk,5
enthusiasm,11,jerked,5
eternal,11,keeping,5
experienced,11,knowledge,5
fancy,11,laid,5
figure,11,late,5
follow,11,lazy,5
following,11,leadership,5
fresh,11,lie,5
gazed,11,limited,5
gloom,11,limp,5
guilty,11,limping,5
hideous,11,line,5
hills,11,listening,5
inhabitants,11,lodge,5
lady,11,look,5
learn,11,low,5
leaves,11,lower,5
longed,11,madness,5
mankind,11,mail,5
mean,11,means,5
money,11,medium,5
noble,11,memories,5
paragraph,11,mercy,5
parents,11,mid,5
permission,11,months,5
picture,11,move,5
pity,11,my,5
possible,11,need,5
provided,11,north,5
rapidly,11,official,5
related,11,owner,5
species,11,panting,5
stars,11,passing,5
suffer,11,path,5
tell,11,people,5
thing,11,plainly,5
things,11,point,5
three,11,pointed,5
times,11,possessed,5
trembled,11,posted,5
utter,11,pull,5
utterly,11,punished,5
vast,11,quarrel,5
warmth,11,raft,5
waters,11,raging,5
weep,11,rapids,5
wife,11,replacement,5
write,11,reply,5
accustomed,10,respect,5
afford,10,retreated,5
agree,10,ripped,5
aid,10,rolled,5
ancient,10,rushing,5
apparently,10,saloon-keeper,5
ardent,10,sank,5
ardently,10,savage,5
ask,10,scattered,5
attempt,10,seized,5
bitterly,10,seven,5
blind,10,sheer,5
both,10,shot,5
breeze,10,silence,5
burning,10,sister,5
caused,10,site,5
changed,10,size,5
circumstance,10,sleds,5
collected,10,snap,5
conceive,10,sort,5
considerable,10,spirit,5
corpse,10,spitz's,5
court,10,spread,5
cursed,10,steal,5
de,10,stopped,5
desert,10,streams,5
devil,10,strike,5
distant,10,surface,5
ebook,10,surprised,5
enterprise,10,swept,5
evidence,10,swift,5
explanation,10,talked,5
express,10,teek,5
fall,10,thin,5
farewell,10,treatment,5
fears,10,trick,5
fever,10,twenty,5
five,10,twilight,5
forget,10,unable,5
forms,10,unlike,5
garden,10,used,5
gentleness,10,voice,5
gloomy,10,wandered,5
guilt,10,waxed,5
hard,10,weighed,5
hell,10,whereupon,5
honour,10,whined,5
ignorant,10,whose,5
including,10,wood,5
instead,10,wot,5
known,10,wouldn't,5
margaret,10,year,5
marked,10,yellow,5
obtain,10,yelp,5
occasion,10,yelping,5
paris,10,1e8,4
persuade,10,1f3,4
poverty,10,action,4
pressed,10,agony,4
procure,10,amid,4
reality,10,angry,4
really,10,announced,4
receive,10,anxious,4
recollection,10,appearance,4
refund,10,arctic,4
remembrance,10,arm,4
render,10,aroused,4
repose,10,arrived,4
residence,10,attacking,4
returning,10,axe,4
rise,10,backed,4
rushed,10,bar,4
sad,10,barely,4
safety,10,bark,4
sailors,10,bay,4
shone,10,beasts,4
sides,10,beautiful,4
situation,10,beginning,4
solitary,10,belt,4
stood,10,bend,4
storm,10,beneath,4
superior,10,bite,4
supposed,10,black,4
switzerland,10,blinking,4
terrible,10,bloody,4
terror,10,bodies,4
thee,10,born,4
trademark,10,boys,4
turk,10,breath,4
white,10,bully,4
window,10,car,4
able,9,care,4
accompanied,9,carry,4
alive,9,cause,4
animal,9,caused,4
anyone,9,charles's,4
apartment,9,checked,4
arms,9,clara,4
arose,9,cliff,4
attempted,9,closer,4
attended,9,coat,4
aunt,9,collection,4
beginning,9,concerning,4
bent,9,constant,4
bosom,9,content,4
cabin,9,copying,4
case,9,courier,4
claim,9,cover,4
cloud,9,crawling,4
contemplated,9,creating,4
convinced,9,creature,4
countenances,9,crowd,4
create,9,crying,4
curse,9,damages,4
depart,9,dashed,4
disappeared,9,dawn,4
distinguished,9,deep,4
distributing,9,deliberately,4
done,9,demanded,4
dwelling,9,despatches,4
eagerly,9,devil,4
effect,9,die,4
endeavouring,9,dignity,4
english,9,dim,4
enjoy,9,directly,4
enjoyment,9,disappeared,4
escape,9,discipline,4
excess,9,displaying,4
fallen,9,doing,4
fearful,9,dominant,4
fee,9,doubled,4
fields,9,down-stream,4
forced,9,drank,4
fortune,9,dreams,4
general,9,eager,4
grasp,9,eagerness,4
happened,9,east,4
hastened,9,editions,4
hate,9,either,4
hid,9,equally,4
hoped,9,escape,4
illness,9,everything,4
imagined,9,faint,4
immediate,9,faith,4
krempe,9,fallen,4
lacey,9,family,4
lifeless,9,fangs,4
lives,9,farther,4
living,9,fearful,4
looking,9,fed,4
looks,9,fees,4
madness,9,finished,4
meantime,9,flames,4
met,9,flank,4
miseries,9,flash,4
month,9,force,4
move,9,forced,4
neck,9,format,4
nurse,9,formidable,4
partly,9,freely,4
passage,9,gad,4
performed,9,gleaming,4
possession,9,gray,4
provide,9,halt,4
relate,9,harnessed,4
restore,9,hatchet,4
rock,9,hell,4
ruin,9,helpless,4
season,9,holder,4
slight,9,home,4
smile,9,hunger,4
struck,9,hurried,4
sunk,9,impossible,4
surprise,9,individual,4
taking,9,inside,4
thrown,9,interest,4
together,9,jack,4
trace,9,kindly,4
trial,9,knocked,4
uncle,9,lak,4
unless,9,larger,4
uttered,9,launched,4
valley,9,lean,4
violence,9,leaping,4
waldman,9,lesson,4
warm,9,limb,4
weather,9,listened,4
whilst,9,live,4
witnesses,9,lives,4
younger,9,loafing,4
absence,8,located,4
additional,8,lolling,4
affections,8,london,4
agrippa,8,loved,4
ambition,8,m,4
amidst,8,malingerer,4
angel,8,mastered,4
anxiety,8,mastery,4
anything,8,mine,4
appears,8,minutes,4
apply,8,miserable,4
arrival,8,mission,4
astonishing,8,moccasins,4
banks,8,moments,4
beyond,8,mongrels,4
birth,8,mother,4
bitterness,8,mournful,4
blanc,8,muscle,4
blasted,8,name,4
burst,8,narwhal,4
cease,8,nine,4
complete,8,none,4
condition,8,noses,4
conduct,8,notice,4
confess,8,nowhere,4
confirmed,8,occupied,4
consider,8,online,4
continue,8,order,4
copies,8,particular,4
criminal,8,passion,4
daily,8,performance,4
deck,8,person,4
deformity,8,picked,4
delay,8,pitch,4
delighted,8,plain,4
descended,8,plunge,4
desolate,8,position,4
detail,8,possible,4
direct,8,present,4
disturbed,8,pretty,4
doing,8,prey,4
domain,8,provided,4
doubtless,8,providing,4
dry,8,pulling,4
ears,8,quarrelling,4
either,8,quivering,4
emotions,8,rain,4
execution,8,rather,4
exertion,8,reach,4
exhibited,8,reached,4
failed,8,ready,4
familiar,8,recovered,4
fatal,8,requirements,4
finding,8,revolver,4
gain,8,riding,4
going,8,rising,4
gratitude,8,roar,4
guest,8,roaring,4
hair,8,rock,4
hasten,8,rose,4
held,8,sacks,4
help,8,sad,4
hold,8,salmon,4
impossible,8,santa,4
impressed,8,score,4
improved,8,sent,4
inhabit,8,share,4
inhabited,8,show,4
instrument,8,sixty,4
instruments,8,sniffed,4
join,8,somewhere,4
judge,8,speak,4
large,8,spot,4
lively,8,squirrels,4
london,8,stamped,4
loose,8,stand,4
lose,8,status,4
lover,8,sticks,4
magnificent,8,stiffness,4
master,8,stole,4
minutes,8,stretches,4
nearer,8,struggled,4
need,8,suffering,4
neither,8,sufficient,4
notice,8,sun-kissed,4
obscure,8,support,4
otherwise,8,swimming,4
papers,8,swinging,4
passing,8,task,4
perfectly,8,thousands,4
pleased,8,thrown,4
prepare,8,tightened,4
prepared,8,toots,4
proceed,8,top,4
procured,8,unbroken,4
professor,8,unless,4
question,8,unwonted,4
quick,8,using,4
refuge,8,vague,4
refuse,8,wagon,4
regard,8,watch,4
relieve,8,ways,4
resolution,8,weather,4
retreat,8,weazened,4
rising,8,whenever,4
sake,8,whining,4
search,8,whirled,4
secure,8,wise,4
seeing,8,woman,4
senses,8,word,4
servant,8,words,4
shadow,8,wounds,4
shed,8,wrath,4
ship,8,written,4
side,8,years,4
sincerely,8,ysabel,4
single,8,1,3
slept,8,1e7,3
solemn,8,1e9,3
speech,8,3,3
straw,8,4,3
stretched,8,accepted,3
strongly,8,accepting,3
succeeded,8,achieved,3
sudden,8,acknowledged,3
summer,8,actions,3
summit,8,advance,3
swear,8,advertised,3
tear,8,afternoon,3
teeth,8,akin,3
ten,8,alongside,3
thank,8,already,3
thunder,8,ancestors,3
toils,8,ancient,3
useless,8,anger,3
vice,8,angle,3
violent,8,animals,3
virtues,8,answered,3
waited,8,antagonist,3
walton,8,apparently,3
watch,8,applicable,3
week,8,approached,3
wide,8,array,3
winds,8,attached,3
worked,8,avoided,3
year,8,bars,3
-,7,bernard,3
accused,7,besides,3
added,7,better,3
affectionate,7,birds,3
agitated,7,booming,3
ago,7,bought,3
ah,7,brother-in-law,3
animated,7,bruised,3
animation,7,brutes,3
answered,7,budge,3
application,7,building,3
arguments,7,buried,3
art,7,burning,3
aspect,7,busy,3
attached,7,cadences,3
bare,7,calamity,3
begone,7,caution,3
benefit,7,centre,3
benevolence,7,characterized,3
beside,7,chattering,3
bore,7,check,3
bright,7,chill,3
busy,7,chorus,3
certain,7,chunk,3
chamber,7,civilized,3
chance,7,clasped,3
character,7,clearing,3
cheeks,7,coated,3
closed,7,colt's,3
commenced,7,company,3
confined,7,complying,3
conjectured,7,comrades,3
connected,7,conscious,3
console,7,cool,3
content,7,cost,3
convey,7,crackling,3
crept,7,crawl,3
described,7,credit,3
determination,7,creeping,3
disappointment,7,crouched,3
discoveries,7,curiously,3
dispositions,7,cursed,3
distinct,7,cursing,3
dogs,7,dam,3
draw,7,dash,3
dread,7,date,3
ebooks,7,defect,3
effects,7,defective,3
elapsed,7,defence,3
endeavours,7,derivative,3
enemies,7,described,3
escaped,7,desire,3
expect,7,devils,3
experience,7,died,3
expressive,7,direction,3
extinguish,7,disclaimer,3
extinguished,7,dishes,3
fail,7,distant,3
favourable,7,divined,3
features,7,dolly,3
finished,7,don't,3
firm,7,donate,3
fit,7,drawn,3
fly,7,drink,3
fortunate,7,drop,3
friendship,7,dug,3
fulfil,7,dust,3
fulfilled,7,dying,3
gay,7,earned,3
glory,7,eating,3
hanging,7,eighteen,3
harsh,7,else,3
heat,7,email,3
hellish,7,enabled,3
hide,7,ends,3
hired,7,endured,3
hurried,7,entered,3
immediately,7,entity,3
immense,7,environment,3
indignation,7,equal,3
induced,7,equipment,3
intense,7,exception,3
italy,7,exhausted,3
keep,7,existence,3
laboratory,7,expected,3
lead,7,expression,3
mad,7,faithful,3
malice,7,father,3
malignity,7,fathers,3
materials,7,favored,3
mentioned,7,fellow,3
mild,7,fellows,3
minute,7,ferocity,3
moritz,7,file,3
mortal,7,fine,3
neglected,7,fixed,3
o'clock,7,flashed,3
obtained,7,flashing,3
occupation,7,flour,3
opposite,7,fluttered,3
oppressed,7,fool,3
overcame,7,fools,3
peaceful,7,foundation's,3
perceive,7,frenzy,3
perform,7,frightful,3
permitted,7,frothing,3
persuaded,7,furiously,3
plain,7,game,3
plans,7,gar,3
play,7,gardener's,3
portion,7,gaunt,3
precipices,7,ghostly,3
prove,7,giving,3
quantity,7,goods,3
raised,7,greatly,3
ran,7,green,3
